company_slug,company_name,sector,year,pdf_url
tesco,Tesco PLC,Retail,2024,https://www.tescoplc.com/media/4h2d5o1x/modern-slavery-statement-2023_24_final.pdf
tesco,Tesco PLC,Retail,2025,https://www.tescoplc.com/media/ahag4vn0/modern-slavery-statement-2024_25_v15.pdf
barclays,Barclays PLC,Financial,2023,https://downloads.modern-slavery-statement-registry.service.gov.uk/pdf-published/EcdNC4fw/2023/Barclays-Statement-on-Modern-Slavery_February%202023.pdf
barclays,Barclays PLC,Financial,2024,https://home.barclays/content/dam/home-barclays/documents/citizenship/ESG/2024/Barclays-Group-Statement-on-Modern-Slavery-2024.pdf
damen,Damen Shipyards Group,Shipbuilding,2022,https://downloads.modern-slavery-statement-registry.service.gov.uk/pdf-published/MzEPDzmh/2023/modern-slavery-statement.pdf
canon,Canon Europe,Technology,2022,https://downloads.modern-slavery-statement-registry.service.gov.uk/pdf-published/4EBA45gT/2023/ms_statement-2022.pdf
siemens-gamesa,Siemens Gamesa Renewable Energy,Renewable Energy,2022,https://downloads.modern-slavery-statement-registry.service.gov.uk/pdf-published/CNsMZ5He/2023/038%20Modern%20Slavery%20Act%20Statement%202022.pdf
dell,Dell Technologies,Technology,2022,https://downloads.modern-slavery-statement-registry.service.gov.uk/pdf-published/nDCDc8Ua/2022/FY22%20Dell%20Technologies%20MSA%20Statement_Signed_01July2022.pdf
dell,Dell Technologies,Technology,2023,https://downloads.modern-slavery-statement-registry.service.gov.uk/pdf-published/nDCDc8Ua/2023/dell-modern-slavery-statement%2029June2023.pdf
hiscox,Hiscox,Insurance,2022,https://downloads.modern-slavery-statement-registry.service.gov.uk/pdf-published/C5kQQjTb/2022/Hiscox%20Modern%20slavery%20statement%20-%202022.pdf
hiscox,Hiscox,Insurance,2023,https://downloads.modern-slavery-statement-registry.service.gov.uk/pdf-published/C5kQQjTb/2023/Modern%20Slavery%20Statement%202023-signed.pdf
